"  ""result"": ""20",2.97202E+15,2.97202E+15,92949," """
"  ""result"": ""20",2.97202E+15,2.97202E+15,93394," """
"  ""result"": ""20",2.97202E+15,2.97202E+15,92919," """
"  ""result"": ""20",2.97202E+15,2.97202E+15,92810," """
"  ""result"": ""20",2.97202E+15,2.97202E+15,93044," """
"  ""result"": ""20",2.97202E+15,2.97202E+15,92891," """
"  ""result"": ""20",2.97202E+15,2.97202E+15,93046," """
"  ""result"": ""20",2.97202E+15,2.97202E+15,93552," """
"  ""result"": ""20",2.97203E+15,2.97203E+15,93634," """
"  ""result"": ""20",2.97203E+15,2.97203E+15,93363," """
"  ""result"": ""20",2.97203E+15,2.97203E+15,111580," """
"  ""result"": ""20",2.97203E+15,2.97203E+15,93340," """
"  ""result"": ""20",2.97203E+15,2.97203E+15,93485," """
"  ""result"": ""20",2.97203E+15,2.97203E+15,93327," """
"  ""result"": ""20",2.97203E+15,2.97203E+15,117646," """
"  ""result"": ""20",2.97203E+15,2.97203E+15,93342," """
"  ""result"": ""20",2.97203E+15,2.97203E+15,93377," """
"  ""result"": ""20",2.97203E+15,2.97203E+15,93314," """
"  ""result"": ""20",2.97203E+15,2.97203E+15,93191," """
"  ""result"": ""20",2.97203E+15,2.97203E+15,91969," """
"  ""result"": ""20",2.97203E+15,2.97203E+15,92987," """
"  ""result"": ""20",2.97203E+15,2.97203E+15,93400," """
"  ""result"": ""20",2.97203E+15,2.97203E+15,93340," """
"  ""result"": ""20",2.97203E+15,2.97203E+15,93245," """
"  ""result"": ""20",2.97203E+15,2.97203E+15,92817," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,93429," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,92933," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,93427," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,93017," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,93357," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,93162," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,93175," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,93299," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,93251," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,93439," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,92514," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,93229," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,93167," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,93111," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,93458," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,93150," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,93193," """
"  ""result"": ""20",2.97204E+15,2.97204E+15,92951," """
"  ""result"": ""20",2.97205E+15,2.97205E+15,92971," """
"  ""result"": ""20",2.97205E+15,2.97205E+15,93020," """
"  ""result"": ""20",2.97205E+15,2.97205E+15,93063," """
"  ""result"": ""20",2.97205E+15,2.97205E+15,93118," """
"  ""result"": ""20",2.97205E+15,2.97205E+15,93476," """
"  ""result"": ""20",2.97205E+15,2.97205E+15,93265," """
"  ""result"": ""20",2.97205E+15,2.97205E+15,93318," """
"  ""result"": ""20",2.97205E+15,2.97205E+15,92432," """
"  ""result"": ""20",2.97205E+15,2.97205E+15,93520," """
"  ""result"": ""20",2.97205E+15,2.97205E+15,93171," """
"  ""result"": ""20",2.97205E+15,2.97205E+15,93447," """
"  ""result"": ""20",2.97205E+15,2.97205E+15,107403," """
"  ""result"": ""20",2.97205E+15,2.97205E+15,93439," """
